cell_id,donor,condition,state,x_um,y_um,rna_a,rna_b,embed_x,embed_y
D01-control-024,D01,control,S1,61.683,64.435,0.9444,1.0943,0.0044,0.7537
D01-control-025,D01,control,S3,254.939,104.865,1.8536,0.5254,4.2269,-0.4069
D01-control-026,D01,control,S3,286.14,394.738,1.4391,0.4873,4.1719,-0.9285
D01-control-027,D01,control,S3,588.877,145.969,1.182,0.4973,4.3824,-0.7109
D01-control-028,D01,control,S1,365.073,181.661,0.2291,1.6708,-0.0911,-0.4392
D01-control-029,D01,control,S1,585.602,315.581,0.9419,1.5957,-0.0795,0.6908
D01-control-030,D01,control,S2,664.654,73.618,0.6354,1.0384,2.9121,2.1619
D01-control-031,D01,control,S1,553.728,464.132,0.533,1.9081,0.086,0.1597
D01-control-032,D01,control,S1,540.971,439.356,0.9474,2.2992,-0.4402,-0.11
D01-control-033,D01,control,S3,178.361,158.952,1.0637,0.5863,4.8533,0.9624
D01-control-034,D01,control,S1,103.813,244.825,0.0651,0.7015,-0.2426,0.3251
D01-control-035,D01,control,S2,592.518,11.286,0.747,0.7182,2.0823,1.25
D01-control-036,D01,control,S3,555.715,275.635,1.6831,0.7812,4.7313,-0.4858
D01-control-037,D01,control,S1,224.815,221.612,0.2205,2.0493,-0.5169,-0.9705
D01-control-038,D01,control,S1,306.974,406.276,0.2905,1.9605,-0.5524,0.1539
D01-control-039,D01,control,S1,460.828,271.322,0.7817,1.3634,0.0747,0.8189
D01-control-040,D01,control,S1,647.213,79.862,1.0606,1.6505,-0.0231,-1.4702
D01-control-041,D01,control,S1,532.093,410.04,0.8416,2.1946,-0.425,-0.9345
D01-control-042,D01,control,S2,551.481,320.516,1.3577,0.9827,2.1096,2.1812
D01-control-043,D01,control,S2,405.725,436.247,1.4649,1.4654,1.6456,2.1923
D01-control-044,D01,control,S1,137.996,287.349,0.5633,1.7256,-0.7633,-0.4603
D01-control-045,D01,control,S2,184.925,464.109,1.5174,1.3443,2.4412,2.2399
D01-control-046,D01,control,S1,96.187,117.346,0.8246,1.8066,-0.1551,-0.5704
D01-control-047,D01,control,S1,716.918,360.785,0.9045,1.9877,-0.063,0.1519
D01-control-048,D01,control,S1,171.429,134.278,0.9346,1.7132,-0.8315,0.5639
D01-control-049,D01,control,S1,127.22,32.868,0.9897,1.4401,0.4084,0.6836
D01-control-050,D01,control,S1,774.902,223.119,0.3045,2.2137,0.2861,0.2201
D01-control-051,D01,control,S1,427.959,230.158,0.0061,1.9232,-0.1874,0.3061
D01-control-052,D01,control,S3,496.438,388.979,1.2738,1.5511,3.6208,0.2724
D01-control-053,D01,control,S2,42.107,74.677,1.1945,1.1583,1.8402,0.5214
D01-control-054,D01,control,S1,144.496,65.369,0.4432,1.8862,-1.0666,0.121
D01-control-055,D01,control,S3,26.154,239.003,1.6808,0.3382,4.1831,-0.1963
D01-control-056,D01,control,S1,743.503,426.551,0.6282,1.3716,-0.5291,-0.6424
D01-control-057,D01,control,S2,395.559,37.729,0.5715,1.078,1.8879,1.1779
D01-control-058,D01,control,S3,746.234,403.414,1.377,0.7295,4.4342,0.9621
D01-control-059,D01,control,S1,726.078,60.909,0.6339,1.699,-0.309,-0.6859
D01-control-060,D01,control,S3,616.704,174.972,2.034,0.8335,5.8488,1.0023
D01-control-061,D01,control,S2,797.029,57.684,1.15,1.1601,2.3971,1.5054
D01-control-062,D01,control,S1,121.117,191.681,0.8059,1.9082,0.0548,0.0448
D01-control-063,D01,control,S2,796.244,99.593,1.3037,1.3141,1.9951,1.9512
D01-control-064,D01,control,S1,99.558,262.845,1.1852,1.3794,-0.0435,-0.6025
D01-control-065,D01,control,S1,460.806,443.242,0.3069,1.4834,-0.9554,-0.5503
D01-control-066,D01,control,S1,555.07,275.025,0.6638,1.3046,-0.3071,-0.1986
D01-control-067,D01,control,S2,427.65,363.354,1.126,1.9527,1.9472,1.7579
D01-control-068,D01,control,S1,334.333,256.365,0.9575,1.8385,-0.1454,-0.4094
D01-control-069,D01,control,S2,295.84,124.269,0.8816,0.3271,1.0608,2.6441
D01-control-070,D01,control,S1,584.465,161.965,0.3887,1.5078,0.1566,-0.3634
D01-control-071,D01,control,S1,401.312,410.286,1.0124,1.1311,0.4528,0.6304
D01-control-072,D01,control,S2,781.31,402.126,1.2181,1.5362,1.8114,1.9599
D01-control-073,D01,control,S2,696.489,65.658,0.8291,1.0837,2.7817,2.5849
D01-control-074,D01,control,S1,734.751,343.004,0.6214,1.7424,-0.1517,0.6924
D01-control-075,D01,control,S3,298.17,231.966,1.6089,0.5386,5.2161,-0.5203
D01-control-076,D01,control,S2,250.425,424.431,1.2065,0.9054,1.9935,1.6936
D01-control-077,D01,control,S1,104.448,36.491,0.801,1.8444,-0.4646,-0.364
D01-control-078,D01,control,S1,58.337,47.73,0.5918,1.5668,-0.2274,0.7309
D01-control-079,D01,control,S3,680.099,102.171,1.8625,0.7462,5.4035,0.0559
D01-perturbed-000,D01,perturbed,S2,509.781,279.435,1.1225,1.6192,2.3153,1.4693
D01-perturbed-001,D01,perturbed,S2,528.278,103.283,1.2653,0.9868,2.4473,1.6325
D01-perturbed-002,D01,perturbed,S3,320.949,110.914,1.095,0.9569,3.7706,0.3644
D01-perturbed-003,D01,perturbed,S3,102.896,215.221,1.1312,0.5065,4.2543,-0.7575
D01-perturbed-004,D01,perturbed,S2,256.008,407.245,1.043,0.8475,2.2413,1.338
D01-perturbed-005,D01,perturbed,S1,75.106,11.796,0.7475,1.5391,-0.7112,0.8526
D01-perturbed-006,D01,perturbed,S3,411.353,249.324,1.7242,0.2958,3.9057,0.4497
D01-perturbed-007,D01,perturbed,S3,624.805,168.231,2.2709,1.3493,4.4833,0.5219
D01-perturbed-008,D01,perturbed,S3,737.067,125.481,2.0786,0.483,3.8113,0.6558
D01-perturbed-009,D01,perturbed,S3,173.963,312.719,1.8673,0.8295,3.6285,0.0524
D01-perturbed-010,D01,perturbed,S3,641.024,241.46,2.1245,0.4832,3.9054,0.0023
D01-perturbed-011,D01,perturbed,S2,41.426,113.687,1.6374,1.24,2.6519,1.2187
D01-perturbed-012,D01,perturbed,S1,72.073,312.842,1.4297,2.3556,0.2702,-0.4335
D01-perturbed-013,D01,perturbed,S2,739.704,172.806,0.9828,0.9566,2.2852,0.5681
D01-perturbed-014,D01,perturbed,S3,542.278,29.68,1.7476,0.9567,3.7563,0.4355
D01-perturbed-015,D01,perturbed,S2,799.243,225.801,1.6602,0.8124,2.2059,1.9169
D01-perturbed-016,D01,perturbed,S1,620.151,62.033,1.1871,2.3279,-0.709,1.0104
D01-perturbed-017,D01,perturbed,S2,49.088,147.799,1.2838,1.663,2.4825,1.8343
D01-perturbed-018,D01,perturbed,S3,297.076,442.698,2.0198,0.1423,3.7884,0.2054
D01-perturbed-019,D01,perturbed,S1,205.156,194.433,0.7549,2.1522,0.6101,-0.7617
D01-perturbed-020,D01,perturbed,S3,578.242,245.108,1.8297,0.5084,3.7766,1.266
D01-perturbed-021,D01,perturbed,S2,188.698,220.17,1.429,1.0452,2.3482,3.0149
D01-perturbed-022,D01,perturbed,S2,363.131,325.383,1.3091,1.3748,2.4706,2.1787
D01-perturbed-023,D01,perturbed,S1,13.158,237.447,0.4023,1.7634,-0.1033,-0.4021
D01-perturbed-024,D01,perturbed,S2,223.085,267.013,1.2304,1.2189,2.6109,2.2589
D01-perturbed-025,D01,perturbed,S1,28.249,289.842,1.3684,1.4885,0.8749,-0.8853
D01-perturbed-026,D01,perturbed,S2,463.192,179.459,0.6285,1.2335,1.8464,1.3739
D01-perturbed-027,D01,perturbed,S3,541.157,79.576,1.9549,0.9897,4.625,-0.1817
D01-perturbed-028,D01,perturbed,S3,508.964,277.128,1.7606,0.5586,4.3229,0.5878
D01-perturbed-029,D01,perturbed,S1,611.658,353.516,1.2426,1.2236,0.0115,-0.1682
D01-perturbed-030,D01,perturbed,S1,22.954,17.511,0.9189,1.7323,0.0466,-0.464
D01-perturbed-031,D01,perturbed,S3,448.824,324.681,1.9429,0,4.9962,-1.1915
D01-perturbed-032,D01,perturbed,S3,635.66,290.789,1.5604,0.798,4.4517,-0.1302
D01-perturbed-033,D01,perturbed,S3,0.27,351.655,2.0646,0.4998,4.1209,-0.1173
D01-perturbed-034,D01,perturbed,S2,602.196,418.893,1.4088,1.5422,1.2615,1.2042
D01-perturbed-035,D01,perturbed,S2,797.314,126.675,1.3609,0.6167,2.6185,1.6436
D01-perturbed-036,D01,perturbed,S1,393.58,94.73,0.8156,1.3866,0.0841,-0.6328
D01-perturbed-037,D01,perturbed,S2,40.076,0.6,1.7515,0.9161,1.3488,2.0552
D01-perturbed-038,D01,perturbed,S1,685.757,143.645,0.2112,1.8233,-0.6687,-0.566
D01-perturbed-039,D01,perturbed,S1,109.922,383.293,0.306,1.754,0.3402,0.3726
D01-perturbed-040,D01,perturbed,S3,179.389,62.92,2.0127,1.099,3.84,-0.0189
D01-perturbed-041,D01,perturbed,S1,593.276,383.338,0.7951,1.6793,-0.2378,-0.1826
D01-perturbed-042,D01,perturbed,S3,478.755,125.031,1.6214,0.529,4.1948,-0.1804
D01-perturbed-043,D01,perturbed,S1,736.536,104.065,0.5382,2.3558,-0.7824,-0.3685
D01-perturbed-044,D01,perturbed,S1,54.635,183.346,1.3226,2.2795,0.5358,-0.6238
D01-perturbed-045,D01,perturbed,S1,51.482,349.831,1.521,1.3471,-0.0772,-0.2805
D01-perturbed-046,D01,perturbed,S1,415.83,169.943,1.121,2.5657,0.315,0.6201
D01-perturbed-047,D01,perturbed,S3,254.964,49.011,1.353,0.3869,4.0415,-0.549
D01-perturbed-048,D01,perturbed,S3,621.913,423.745,1.461,0.3455,5.0931,0.5145
D01-perturbed-049,D01,perturbed,S1,758.487,107.32,1.2453,1.8632,0.4129,-0.1173
D01-perturbed-050,D01,perturbed,S2,607.011,444.656,2.1322,0.7302,2.124,2.1369
D01-perturbed-051,D01,perturbed,S1,124.689,126.984,0.8239,1.8353,0.2888,0.3376
D01-perturbed-052,D01,perturbed,S1,715.16,37.63,0.706,1.8591,0.6929,-0.0677
D01-perturbed-053,D01,perturbed,S1,225.371,90.734,0.7064,2.1465,-0.2469,0.2109
D01-perturbed-054,D01,perturbed,S2,733.661,467.188,1.9207,1.0922,1.5253,2.7862
D01-perturbed-055,D01,perturbed,S1,725.365,416.708,1.1907,1.9494,0.085,-0.4116
D01-perturbed-056,D01,perturbed,S1,594.182,325.34,1.4173,1.6567,0.2814,-0.1527
D01-perturbed-057,D01,perturbed,S1,213.988,144.358,0.928,1.5887,0.9424,-0.3254
D01-perturbed-058,D01,perturbed,S1,361.131,10.705,1.0574,1.956,-0.6379,1.1741
D01-perturbed-059,D01,perturbed,S1,195.214,170.877,1.2703,1.3984,0.3641,-0.3799
D01-perturbed-060,D01,perturbed,S3,525.013,66.6,1.6936,0.4493,4.0693,-0.197
D01-perturbed-061,D01,perturbed,S3,773.964,78.499,2.0815,0.3581,3.7814,0.2516
D01-perturbed-062,D01,perturbed,S2,133.337,489.839,0.9346,0.6905,2.1578,2.5077
D01-perturbed-063,D01,perturbed,S3,202.803,78.132,1.6372,1.0417,5.0868,0.5122
D01-perturbed-064,D01,perturbed,S1,291.993,399.568,0.7636,1.5615,0.2273,0.797
D01-perturbed-065,D01,perturbed,S2,633.167,499.35,0.8208,1.0825,2.0707,1.6399
D01-perturbed-066,D01,perturbed,S1,736.208,69.627,1.0818,1.8632,0.1923,0.1732
D01-perturbed-067,D01,perturbed,S2,26.05,121.637,1.2717,1.5906,1.5979,0.6195
D01-perturbed-068,D01,perturbed,S1,353.492,274.21,0.7355,1.502,0.6235,1.1956
D01-perturbed-069,D01,perturbed,S2,178.314,294.084,1.6317,0.9792,1.4086,2.1894
D01-perturbed-070,D01,perturbed,S2,349.201,134.015,0.6803,0.9113,2.391,2.3037
D01-perturbed-071,D01,perturbed,S2,675.659,67.574,1.1568,0.6643,2.1929,1.6315
D01-perturbed-072,D01,perturbed,S3,290.673,0.557,2.1768,0.1017,4.1206,-1.4016
D01-perturbed-073,D01,perturbed,S3,177.361,173.433,1.4036,0.9689,3.694,0.6899
D01-perturbed-074,D01,perturbed,S3,683.309,327.265,1.7508,0,4.0811,0.0559
D01-perturbed-075,D01,perturbed,S2,94.901,311.809,1.8622,1.5377,1.568,1.8671
D01-perturbed-076,D01,perturbed,S3,516.73,87.151,2.0964,0.8036,3.688,0.5282
D01-perturbed-077,D01,perturbed,S2,670.965,69.051,1.4399,1.063,1.9375,1.1211
D01-perturbed-078,D01,perturbed,S2,386.677,387.547,2.0169,0,1.6567,1.4694
D01-perturbed-079,D01,perturbed,S2,353.429,485.141,1.5117,0.8457,1.843,2.0618
D02-control-000,D02,control,S1,36.853,428.497,0.7856,2.1005,1.3735,-0.0995
D02-control-001,D02,control,S3,17.836,261.858,1.5794,0.387,4.7565,-0.0029
D02-control-002,D02,control,S1,249.367,81.961,0.1468,1.6227,0.0998,-0.6255
D02-control-003,D02,control,S1,8.728,451.517,0.6681,2.2255,0.041,0.9319
D02-control-004,D02,control,S3,274.29,322.138,0.4712,1.0333,4.3234,-0.2325
D02-control-005,D02,control,S3,397.534,68.645,1.7454,0.3628,4.7199,0.2636
D02-control-006,D02,control,S1,468.706,84.697,0.7189,2.0213,-0.5815,-0.462
D02-control-007,D02,control,S3,375.715,80.487,1.6009,0.1499,3.3793,-1.6214
D02-control-008,D02,control,S1,259.613,98.468,0.526,1.6349,0.6406,-0.0832
D02-control-009,D02,control,S1,584.995,446.836,0.8857,1.9268,-0.3646,0.0623
D02-control-010,D02,control,S1,596.514,193.929,1.0444,1.9669,-0.5575,0.95
D02-control-011,D02,control,S1,355.804,62.896,0.098,1.7128,-0.1593,-0.2114
D02-control-012,D02,control,S3,175.115,31.538,1.2595,0.9518,4.3605,-0.3293
D02-control-013,D02,control,S3,100.586,397.518,1.6536,0.4065,4.6045,-0.3488
D02-control-014,D02,control,S2,247.352,342.066,1.2882,1.2675,2.5963,2.1689
D02-control-015,D02,control,S2,253.229,5.149,0.815,1.7799,2.7574,2.5231
D02-control-016,D02,control,S1,224.762,344.177,0.8685,1.7388,0.0908,-0.0369
D02-control-017,D02,control,S1,210.035,298.335,0.4938,1.6321,-0.058,-0.1195
D02-control-018,D02,control,S1,353.85,319.992,0.2505,1.3645,-1.1429,0.477
D02-control-019,D02,control,S2,253.158,370.895,1.1864,1.3708,1.9938,2.3911
D02-control-020,D02,control,S1,501.475,162.316,0.387,1.262,-0.4078,0.3387
D02-control-021,D02,control,S3,332.169,192.817,1.2626,0.4726,3.736,0.6198
D02-control-022,D02,control,S1,85.617,235.739,0.2871,1.6533,-0.9767,-0.0261
D02-control-023,D02,control,S2,407.964,414.435,0.9841,1.3626,2.3487,2.3129
D02-control-024,D02,control,S1,444.634,426.281,1.2542,1.9856,0.1145,-0.0086
D02-control-025,D02,control,S1,87.735,42.892,0.9589,1.7764,-0.6582,-0.0695
D02-control-026,D02,control,S3,47.863,167.265,1.8146,0.304,4.2115,1.0281
D02-control-027,D02,control,S3,764.823,148.03,1.822,0.5888,3.8632,1.1385
D02-control-028,D02,control,S1,230.088,190.478,1.0551,1.6447,-0.2431,-1.0482
D02-control-029,D02,control,S2,321.067,343.575,1.0958,0.8269,2.1328,2.3842
D02-control-030,D02,control,S2,569.936,115.992,0.7866,1.9565,1.7539,1.9034
D02-control-031,D02,control,S3,667.154,193.414,1.8594,0.9041,4.4369,0.5217
D02-control-032,D02,control,S1,731.16,294.592,0.528,1.477,-0.5779,0.2373
D02-control-033,D02,control,S1,33.645,448.511,0.4794,2.0064,0.5299,-0.1484
D02-control-034,D02,control,S2,9.371,227.793,1.2137,0.7034,1.7575,2.613
D02-control-035,D02,control,S2,534.751,26.24,1.1728,1.3529,2.3066,2.2065
D02-control-036,D02,control,S1,414.719,64.566,0.1004,1.3617,-0.4096,-0.1965
D02-control-037,D02,control,S1,214.209,492.283,0.7114,1.3546,-0.5518,0.2317
D02-control-038,D02,control,S1,661.341,29.903,0.8468,1.5576,-0.1291,0.3447
D02-control-039,D02,control,S1,375.008,268.009,0.5308,2.1954,0.5178,-0.0016
D02-control-040,D02,control,S1,744.132,458.121,0.2496,1.8166,-0.2106,-0.7065
D02-control-041,D02,control,S2,116.535,43.872,1.4035,1.4613,1.7827,1.744
D02-control-042,D02,control,S3,557.56,54.506,0.7857,0.4923,4.4039,-0.7493
D02-control-043,D02,control,S3,444.433,317.98,1.4589,0.0305,3.5655,-0.2909
D02-control-044,D02,control,S1,434.653,57.635,0.4765,1.3672,-0.1976,-0.1922
D02-control-045,D02,control,S3,659.985,129.303,1.6545,0.5637,4.5934,0.3763
D02-control-046,D02,control,S1,543.24,115.299,0.4852,1.633,0.4929,0.5244
D02-control-047,D02,control,S2,290.342,380.774,0.8096,1.2272,2.4328,2.1867
D02-control-048,D02,control,S1,475.453,470.941,0.2853,1.1228,0.5139,-0.6559
D02-control-049,D02,control,S1,467.817,440.731,1.3789,1.6181,0.3886,0.2566
D02-control-050,D02,control,S1,535.981,406.915,0.7383,1.9873,0.0315,0.6625
D02-control-051,D02,control,S2,216.537,438.574,0.4937,1.2826,2.7,2.1832
D02-control-052,D02,control,S2,433.61,258.464,0.9695,1.5353,1.1741,1.1814
D02-control-053,D02,control,S1,186.822,339.261,1.0818,2.2094,0.541,-0.7805
D02-control-054,D02,control,S2,52.496,16.579,0.5491,0.4685,1.4462,1.7946
D02-control-055,D02,control,S1,666.017,29.304,0.3675,1.6338,0.0728,0.8083
D02-control-056,D02,control,S3,266.394,341.906,1.2018,0.4169,3.8402,-0.7315
D02-control-057,D02,control,S1,669.87,53.821,0.6057,1.4828,-0.7627,-0.311
D02-control-058,D02,control,S3,124.94,64.16,1.7366,0.2749,4.1713,-0.0737
D02-control-059,D02,control,S2,546.104,347.878,1.0873,1.6279,2.5063,1.9182
D02-control-060,D02,control,S3,710.886,148.555,1.5639,0.9137,3.6487,0.0523
D02-control-061,D02,control,S1,289.282,2.557,0.561,1.0744,-0.3674,0.3333
D02-control-062,D02,control,S2,751.681,381.688,0.3052,1.4296,1.3455,1.4372
D02-control-063,D02,control,S1,734.097,100.528,0.9225,1.0503,-0.1357,-0.4347
D02-control-064,D02,control,S1,249.98,216.403,0.4731,1.6108,0.1342,1.1692
D02-control-065,D02,control,S1,146.154,7.535,0.6764,1.7321,-0.4556,-0.5352
D02-control-066,D02,control,S1,745.666,307.008,0.53,1.5196,0.4086,-0.2782
D02-control-067,D02,control,S3,567.891,299.442,1.4685,0.889,4.2874,-0.6551
D02-control-068,D02,control,S1,280.924,333.586,0.3054,1.8142,-0.3194,0.2125
D02-control-069,D02,control,S1,796.745,422.513,0.4337,1.7694,0.2445,0.2139
D02-control-070,D02,control,S2,457.502,76.378,0.9184,0.6905,1.8777,1.6357
D02-control-071,D02,control,S1,87.397,353.235,0.8299,1.389,0.276,0.8673
D02-control-072,D02,control,S2,232.259,178.179,1.0811,0.935,2.8861,2.0747
D02-control-073,D02,control,S2,293.76,379.823,0.8562,0.7536,2.3471,1.883
D02-control-074,D02,control,S3,34.227,235.637,1.8981,0.7672,4.797,0.6492
D02-control-075,D02,control,S1,558.422,110.646,0.5888,2.2607,-0.1422,-0.7909
D02-control-076,D02,control,S2,739.105,286.6,0.799,1.1344,3.0238,2.8249
D02-control-077,D02,control,S2,156.452,485.393,0.8824,1.0219,2.0614,2.6782
D02-control-078,D02,control,S2,364.977,354.802,1.3807,0.9326,2.2869,2.3696
D02-control-079,D02,control,S2,167.847,202.825,1.0975,0.9182,1.4155,2.4231
D02-perturbed-000,D02,perturbed,S2,488.376,337.915,1.2656,1.1063,1.3118,1.7999
D02-perturbed-001,D02,perturbed,S2,577.887,411.5,1.4766,1.3404,2.1299,2.3098
D02-perturbed-002,D02,perturbed,S2,424.487,340.146,1.4938,1.417,2.7156,2.0025
D02-perturbed-003,D02,perturbed,S3,114.569,468.877,1.9426,0.6642,3.7681,-0.197
D02-perturbed-004,D02,perturbed,S3,27.357,88.236,0.9401,0.3661,4.4929,0.5253
D02-perturbed-005,D02,perturbed,S2,157.828,192.837,1.1925,0.9248,2.7088,2.3151
D02-perturbed-006,D02,perturbed,S3,626.498,0.761,2.0415,0.1853,4.5591,0.1686
D02-perturbed-007,D02,perturbed,S2,85.385,140.368,2.1624,1.2816,2.3772,1.6826
D02-perturbed-008,D02,perturbed,S2,686.711,184.151,1.5872,1.1964,1.343,1.6714
D02-perturbed-009,D02,perturbed,S3,377.476,293.478,1.7896,0.9347,3.8983,0.1446
D02-perturbed-010,D02,perturbed,S2,683.312,400.258,1.6373,0.6006,2.1253,2.0882
D02-perturbed-011,D02,perturbed,S1,659.608,260.273,0.9388,1.4875,0.1392,0.6509
D02-perturbed-012,D02,perturbed,S1,481.336,483.301,0.9446,1.0712,-1.0432,-0.2726
D02-perturbed-013,D02,perturbed,S2,276.186,31.998,1.5756,0.7223,2.0136,2.6789
D02-perturbed-014,D02,perturbed,S1,352.174,151.969,1.2235,2.3449,0.8383,-0.0258
D02-perturbed-015,D02,perturbed,S2,481.971,431.428,1.1981,1.1184,1.4803,1.4143
D02-perturbed-016,D02,perturbed,S1,508.356,202.159,1.2354,2.1012,-0.2733,0.0882
D02-perturbed-017,D02,perturbed,S2,474.841,222.399,1.6946,1.5595,2.7552,2.266
D02-perturbed-018,D02,perturbed,S2,494.362,388.25,1.4888,1.4677,1.7714,2.1416
D02-perturbed-019,D02,perturbed,S1,653.423,360.283,0.7531,1.6461,-1.4691,0.0682
D02-perturbed-020,D02,perturbed,S2,330.989,319.004,1.3411,1.9788,2.4356,1.9913
D02-perturbed-021,D02,perturbed,S2,585.107,397.135,1.4084,1.6271,1.9997,2.5439
D02-perturbed-022,D02,perturbed,S2,130.133,172.127,2.047,1.5035,2.4549,1.1455
D02-perturbed-023,D02,perturbed,S1,293.95,292.188,0.9915,1.4638,0.9549,-0.5634
D02-perturbed-024,D02,perturbed,S3,193.652,346.553,1.9406,0.5487,4.0196,0.3258
D02-perturbed-025,D02,perturbed,S2,76.638,300.003,0.8338,1.4427,2.4498,1.614
D02-perturbed-026,D02,perturbed,S1,443.092,0.804,0.8066,1.5509,0.0847,0.8567
D02-perturbed-027,D02,perturbed,S1,386.821,217.155,0.294,1.873,0.4861,-0.4679
D02-perturbed-028,D02,perturbed,S1,197.561,272.325,1.7114,1.9946,0.2201,-1.4934
D02-perturbed-029,D02,perturbed,S3,460.297,315.238,1.9612,0.2339,4.104,0.543
D02-perturbed-030,D02,perturbed,S3,572.708,486.703,2.0718,0.2699,4.3564,1.0135
D02-perturbed-031,D02,perturbed,S2,543.507,147.912,1.7289,0.9655,1.6384,1.418
D02-perturbed-032,D02,perturbed,S1,760.72,219.647,0.7065,1.1374,-0.089,-0.3414
D02-perturbed-033,D02,perturbed,S3,755.888,200.549,2.0079,0.2831,4.315,-0.4418
D02-perturbed-034,D02,perturbed,S1,81.465,305.684,0.9525,2.1957,0.4695,0.6847
D02-perturbed-035,D02,perturbed,S3,433.335,79.196,1.9575,0.5598,3.207,-0.7396
D02-perturbed-036,D02,perturbed,S1,413.071,243.272,0.8982,1.5505,0.0423,-0.5753
D02-perturbed-037,D02,perturbed,S1,353.118,57.911,1.0195,1.3663,-0.0271,-0.3987
D02-perturbed-038,D02,perturbed,S1,677.154,251.069,1.1046,1.8195,0.021,0.4649
D02-perturbed-039,D02,perturbed,S1,112.507,125.636,0.3415,1.7632,-0.4002,-0.7235
D02-perturbed-040,D02,perturbed,S1,625.538,229.998,0.6411,1.3371,0.4648,0.1703
D02-perturbed-041,D02,perturbed,S2,336.521,224.856,1.9556,1.3579,2.2155,3.477
D02-perturbed-042,D02,perturbed,S2,209.722,262.815,2.0813,0.4113,2.7538,2.4525
D02-perturbed-043,D02,perturbed,S2,199.775,459.011,1.1462,1.1275,1.962,2.5146
D02-perturbed-044,D02,perturbed,S3,446.62,327.751,1.9041,0.6452,5.0369,0.279
D02-perturbed-045,D02,perturbed,S1,665.966,401.471,0.8696,1.3456,0.5574,-1.0576
D02-perturbed-046,D02,perturbed,S3,489.911,63.199,1.0505,0.3829,4.0548,-0.2949
D02-perturbed-047,D02,perturbed,S2,738.394,311.031,1.3799,0.7319,1.9455,2.5881
D02-perturbed-048,D02,perturbed,S3,741.965,375.821,1.4484,0.3958,4.7002,0.2418
D02-perturbed-049,D02,perturbed,S1,691.134,311.847,1.031,1.3912,-0.6451,1.2471
D02-perturbed-050,D02,perturbed,S2,714.919,265.71,1.7149,0.8798,1.4371,3.4035
D02-perturbed-051,D02,perturbed,S1,51.481,9.772,0.9594,2.0979,-0.3862,0.5619
D02-perturbed-052,D02,perturbed,S2,265.51,14.25,1.4641,0.9697,1.5083,1.0539
D02-perturbed-053,D02,perturbed,S1,798.264,467.295,1.1675,1.3343,-0.196,0.4839
D02-perturbed-054,D02,perturbed,S1,481.328,83.197,0.8318,2.0402,-0.3279,0.849
D02-perturbed-055,D02,perturbed,S1,756.484,127.07,0.8504,1.6265,-0.0603,0.5443
D02-perturbed-056,D02,perturbed,S3,669.258,240.826,1.8382,0.5208,4.2511,0.9016
D02-perturbed-057,D02,perturbed,S2,427.327,449.187,1.1428,1.0567,3.0169,2.5605
D02-perturbed-058,D02,perturbed,S2,519.779,28.382,1.1868,0.9837,1.4428,2.4418
D02-perturbed-059,D02,perturbed,S2,557.049,61.947,2.1328,1.6729,2.081,1.0511
D02-perturbed-060,D02,perturbed,S1,300.58,418.529,0.4759,1.5444,-0.2803,0.9644
D02-perturbed-061,D02,perturbed,S1,263.239,121.103,0.9769,1.7288,0.2872,-0.6286
