donor,condition,cell_id,state,x_um,y_um,radial_offset_um,rna_epithelial,rna_stromal,rna_boundary,atac,protein,invariant
D01,C,D01-C-0049,Epithelial-like,797.402,458.579,-236.353,2.07295,0.21235,0.83992,0.67462,0.69786,1.58977
D01,C,D01-C-0050,Immune-like,699.727,420.565,-160.353,0.02,0.65668,1.47443,0.80935,0.69604,1.39556
D01,C,D01-C-0051,Stromal-like,1233.29,175.048,157.382,0.45724,1.73156,0.77499,0.79833,0.75815,1.11329
D01,C,D01-C-0052,Stromal-like,1547.454,609.204,185.829,0.58437,2.11522,0.72527,0.60821,0.96386,1.22376
D01,C,D01-C-0053,Epithelial-like,978.549,539.655,-210.724,1.99563,0.48974,0.80914,0.6109,0.81375,1.39279
D01,C,D01-C-0054,Immune-like,1555.812,643.236,201.587,0.24117,0.74556,1.1364,0.76497,0.80489,1.41672
D01,C,D01-C-0055,Stromal-like,1458.901,400.201,130.32,0.57937,2.31513,1.38043,1.03088,1.37028,1.2404
D01,C,D01-C-0056,Stromal-like,562.639,805.308,84.039,0.48376,2.00818,1.06294,1.07736,0.75887,1.37284
D01,C,D01-C-0057,Immune-like,874.435,752.415,-29.02,0.25713,0.78432,2.03698,1.40731,1.15801,1.11343
D01,C,D01-C-0058,Stromal-like,884.164,795.535,20.314,0.7208,2.38432,1.11428,0.9276,0.86751,1.69455
D01,C,D01-C-0059,Stromal-like,1144.379,475.484,-99.591,0.66639,2.09701,1.11044,0.63541,0.72811,1.69713
D01,C,D01-C-0060,Epithelial-like,272.454,335.085,137.709,2.16036,0.58292,1.12261,0.67342,0.86682,1.58122
D01,C,D01-C-0061,Epithelial-like,1246.964,472.78,-29.837,2.17187,0.54057,2.10512,1.2054,1.17612,0.96389
D01,C,D01-C-0062,Immune-like,599.891,431.831,-112.032,0.70585,1.05483,1.50044,1.51009,1.03337,1.45936
D01,C,D01-C-0063,Stromal-like,985.283,53.148,222.354,0.59636,1.90356,0.88363,0.8318,0.6585,1.26349
D01,C,D01-C-0064,Stromal-like,631.145,852.26,111.819,0.79929,2.28974,0.91467,0.85837,0.66808,1.53011
D01,C,D01-C-0065,Stromal-like,549.562,854.004,136.767,0.64122,2.23461,1.53872,1.2056,0.95499,1.38369
D01,C,D01-C-0066,Immune-like,590.091,711.015,-15.397,0.44263,0.67028,1.8012,1.25382,0.89648,1.24242
D01,C,D01-C-0067,Epithelial-like,914.425,178.756,73.991,1.95586,0.39897,1.04644,0.77913,0.75195,0.90908
D01,C,D01-C-0068,Epithelial-like,1034.282,406.943,-132.819,2.13912,0.86505,1.44996,0.93951,1.1948,1.54918
D01,C,D01-C-0069,Immune-like,1264.3,681.953,39.536,0.68013,0.86823,1.85302,1.13598,1.16634,1.1063
D01,C,D01-C-0070,Epithelial-like,719.407,407.422,-158.07,2.34978,0.5374,0.84366,0.73462,0.62021,1.35273
D01,C,D01-C-0071,Immune-like,693.661,484.253,-193.993,0.5295,0.85668,1.58823,1.43777,0.84442,1.44693
D01,C,D01-C-0072,Epithelial-like,281.595,722.65,153.217,2.17421,0.61055,0.95325,1.14598,0.79584,1.21648
D01,C,D01-C-0073,Epithelial-like,629.208,337.459,-57.386,2.21291,0.91577,1.20881,0.98982,0.81854,1.18816
D01,C,D01-C-0074,Epithelial-like,1084.891,663.028,-68.096,1.65657,0.37231,1.3975,1.01774,0.39553,1.41228
D01,C,D01-C-0075,Stromal-like,189.257,720.491,206.886,0.78535,1.75953,0.76928,0.85125,0.73251,1.21426
D01,C,D01-C-0076,Stromal-like,1257.048,503.882,-26.113,0.71865,2.09611,1.1969,1.07217,0.7949,1.24316
D01,C,D01-C-0077,Epithelial-like,600.572,386.711,-84.058,1.79407,0.73112,1.27401,1.06429,1.01003,1.16933
D01,C,D01-C-0078,Stromal-like,1108.624,135.335,156.136,0.73121,2.15671,0.83684,0.6172,0.86599,1.43047
D01,C,D01-C-0079,Epithelial-like,951.774,322.518,-80.839,2.25865,0.77641,1.02581,0.59944,0.66302,0.59171
D01,C,D01-C-0080,Stromal-like,1113.05,309.202,-14.264,0.38937,1.97838,1.66062,1.18908,0.67785,0.7969
D01,C,D01-C-0081,Stromal-like,212.471,401.184,148.834,0.65008,2.40854,0.75718,0.37941,0.58255,0.73071
D01,C,D01-C-0082,Immune-like,1146.654,325.288,-12.864,0.36448,0.57237,2.03128,1.36699,1.53596,1.15563
D01,C,D01-C-0083,Epithelial-like,1173.87,514.647,-83.109,1.63137,0.86872,1.15702,0.94825,0.69301,0.94879
D01,C,D01-C-0084,Epithelial-like,702.681,441.237,-177.379,2.25356,0.02406,0.49411,0.2894,0.56934,0.88405
D01,C,D01-C-0085,Stromal-like,1044.52,491.724,-170.158,0.60063,1.95195,0.78541,0.68795,0.79865,1.06753
D01,C,D01-C-0086,Immune-like,461.81,554.349,-34.383,0.41946,0.50167,2.0646,1.61741,1.25104,1.35742
D01,C,D01-C-0087,Stromal-like,521.21,327.201,1.373,0.73594,1.97646,1.53444,1.15865,1.28063,1.19671
D01,C,D01-C-0088,Stromal-like,970.396,895.623,140.899,1.0944,2.2142,1.06007,0.88397,0.92172,1.27441
D01,C,D01-C-0089,Epithelial-like,719.854,622.15,-149.475,2.0868,0.26172,1.71486,1.30975,1.01657,1.37936
D01,C,D01-C-0090,Epithelial-like,967.953,487.912,-220.401,1.99847,0.53108,1.15752,0.66965,0.82453,1.5791
D01,C,D01-C-0091,Stromal-like,532.765,280.114,34.788,0.2506,1.97087,1.67467,1.34589,1.26181,1.15928
D01,C,D01-C-0092,Immune-like,755.432,205.792,46.707,0.56973,0.73224,1.97496,1.57106,1.15782,1.01206
D01,C,D01-C-0093,Epithelial-like,506.018,494.844,-68.767,1.89751,0.73591,1.37665,1.1583,0.84315,0.96435
D01,C,D01-C-0094,Immune-like,563.552,391.161,-66.819,0.81949,0.55444,1.56356,1.20011,1.07808,1.32978
D01,C,D01-C-0095,Stromal-like,893.654,120.961,138.1,0.72456,2.24789,1.44078,0.97164,0.92085,1.57672
D01,C,D01-C-0096,Epithelial-like,738.998,506.272,-228.853,2.40227,0.71538,1.0084,0.84139,0.88003,1.54599
D01,C,D01-C-0097,Stromal-like,1230.68,863.578,173.981,0.18885,1.89614,0.81046,0.47937,0.60676,1.08537
D01,C,D01-C-0098,Immune-like,1356.735,472.741,44.652,0.43029,0.37943,1.94145,1.48916,1.19144,1.27336
D01,C,D01-C-0099,Epithelial-like,785.202,457.415,-230.565,2.02188,0.54607,0.59926,0.52649,0.41819,0.93078
D01,C,D01-C-0100,Stromal-like,1105.926,114.086,177.845,0.89497,2.25983,1.13809,0.65677,0.87743,0.97878
D01,C,D01-C-0101,Immune-like,772.799,247.65,-2.222,0.54703,0.89603,2.10044,1.54409,1.69454,1.26679
D01,C,D01-C-0102,Stromal-like,1268.158,183.794,163.445,0.43364,2.27425,1.08105,1.10346,0.72541,0.56845
D01,C,D01-C-0103,Immune-like,860.0,198.491,49.053,0.37996,1.06824,1.82351,1.53535,1.06354,1.15429
D01,C,D01-C-0104,Epithelial-like,651.055,783.491,34.345,1.80343,0.35181,1.8313,1.69443,1.41036,1.70596
D01,C,D01-C-0105,Immune-like,1418.91,772.794,185.936,0.67874,0.63407,0.9391,0.53409,0.44042,1.46972
D01,C,D01-C-0106,Stromal-like,1224.558,842.627,151.825,0.59573,2.46573,1.35852,1.36291,1.07341,0.85713
D01,C,D01-C-0107,Immune-like,1200.835,666.187,-6.262,0.44317,0.46742,1.60427,1.16679,0.95451,1.43524
D01,C,D01-C-0108,Immune-like,1328.641,742.43,115.997,0.36425,0.52861,1.63891,1.17738,1.37171,1.48212
D01,C,D01-C-0109,Epithelial-like,708.404,402.014,-148.591,2.59622,0.39551,0.74833,0.83799,0.42217,1.59281
D01,C,D01-C-0110,Stromal-like,1099.282,889.986,159.333,0.69798,2.20072,0.95654,0.94002,0.46747,1.30994
D01,C,D01-C-0111,Stromal-like,1299.449,757.602,112.053,0.73647,2.46012,1.33445,1.38312,1.00645,1.20801
D01,C,D01-C-0112,Epithelial-like,932.048,399.436,-167.363,1.89335,0.55257,1.03355,0.66334,0.63238,1.3897
D01,C,D01-C-0113,Stromal-like,1438.768,765.43,191.865,0.55012,2.2756,1.28385,0.89182,1.15864,1.3312
D01,C,D01-C-0114,Epithelial-like,588.437,611.243,-92.087,1.85859,0.67174,1.479,0.91497,1.03515,1.18474
D01,C,D01-C-0115,Epithelial-like,1265.976,582.594,-8.383,2.10255,0.41277,1.20696,0.95014,0.7073,1.44063
D01,C,D01-C-0116,Stromal-like,667.74,223.571,43.606,0.37802,1.87592,0.97955,0.76938,0.89454,1.06487
D01,C,D01-C-0117,Stromal-like,672.389,161.385,109.412,0.35548,2.16546,0.90405,0.80101,0.49898,1.1841
D01,C,D01-C-0118,Stromal-like,833.052,298.606,-64.499,0.56079,2.03173,1.33685,1.13187,0.76969,1.36305
D01,C,D01-C-0119,Epithelial-like,970.641,638.793,-136.929,2.24268,0.48227,1.20641,1.1771,1.0672,0.97828
D01,C,D01-C-0120,Stromal-like,1537.002,635.771,186.776,0.78157,2.03945,0.86783,0.51192,0.53485,1.31627
D01,C,D01-C-0121,Stromal-like,529.713,171.285,138.03,0.95201,2.16612,0.45593,0.3249,0.30935,1.30362
D01,C,D01-C-0122,Stromal-like,1424.302,704.458,146.176,0.55499,2.22826,0.60985,0.74237,0.4253,1.38151
D01,C,D01-C-0123,Immune-like,1312.911,625.706,38.244,0.42489,0.64311,1.80654,1.26682,1.09158,1.10955
D01,C,D01-C-0124,Epithelial-like,982.107,489.213,-211.483,1.99529,0.93555,1.28445,1.17422,0.83891,1.06628
D01,C,D01-C-0125,Stromal-like,1346.508,574.699,42.931,0.30657,2.22867,1.54515,1.19439,1.29113,1.45346
D01,C,D01-C-0126,Immune-like,343.549,604.072,57.982,0.87992,0.50849,1.49213,1.06357,0.81482,1.20769
D01,C,D01-C-0127,Epithelial-like,1116.053,812.845,84.411,2.11458,0.48975,1.46332,0.9654,0.61947,1.46995
D01,C,D01-C-0128,Immune-like,1209.57,643.527,-15.729,0.46353,0.22237,1.85931,1.18081,1.35464,0.68338
D01,C,D01-C-0129,Immune-like,1217.604,829.122,136.477,0.56375,0.69997,1.93072,1.05552,1.13828,1.48863
D01,C,D01-C-0130,Stromal-like,640.196,802.497,57.117,0.65045,2.22013,1.11185,1.20406,0.37845,0.79415
D01,C,D01-C-0131,Epithelial-like,1299.543,333.749,62.315,1.96722,0.56998,1.15985,0.95967,0.5666,0.75797
D01,C,D01-C-0132,Immune-like,747.864,269.959,-23.399,0.79755,0.8254,2.1134,1.57222,1.51307,1.31844
D01,C,D01-C-0133,Epithelial-like,1079.402,280.586,-0.613,2.00416,0.4906,1.79572,1.49793,1.12459,1.4144
D01,C,D01-C-0134,Immune-like,781.972,748.068,-30.485,0.71423,0.45964,2.2352,1.86165,1.09958,1.31781
D01,C,D01-C-0135,Immune-like,1017.233,220.649,43.188,0.44938,1.01315,1.76438,1.33953,1.06823,1.47498
D01,C,D01-C-0136,Immune-like,395.631,649.123,44.065,0.67685,0.73787,1.63458,1.17381,1.14175,0.91787
D01,C,D01-C-0137,Immune-like,442.585,567.692,-18.351,0.30232,0.36821,1.96744,1.50892,1.4773,1.36659
D01,C,D01-C-0138,Stromal-like,1216.268,231.206,99.11,0.59461,2.34562,1.34259,1.14282,0.83519,1.22303
D01,C,D01-C-0139,Immune-like,1378.254,430.98,67.794,0.89369,0.62478,1.87687,1.43816,1.23399,1.53533
D01,C,D01-C-0140,Epithelial-like,1030.72,380.345,-112.57,2.15082,0.51861,0.76379,0.78564,0.37674,1.3532
D01,C,D01-C-0141,Stromal-like,1429.958,634.656,116.733,0.6765,1.99901,1.18234,0.85348,1.13671,1.26806
D01,C,D01-C-0142,Immune-like,1307.806,410.829,28.202,0.67723,0.53837,1.82258,1.13979,1.16883,1.43766
D01,C,D01-C-0143,Stromal-like,907.075,463.924,-239.657,0.6585,2.10747,0.40265,0.47129,0.24593,1.26363
D01,C,D01-C-0144,Stromal-like,1062.89,812.628,68.532,0.83042,2.15157,1.29197,0.87554,1.34163,1.2177
D01,C,D01-C-0145,Epithelial-like,844.393,368.249,-143.873,1.82514,0.29828,0.71379,0.80671,0.65177,0.94384
D01,C,D01-C-0146,Epithelial-like,621.849,347.604,-63.184,2.38659,0.63396,1.39841,1.20346,1.21762,0.94356
D01,C,D01-C-0147,Stromal-like,785.372,130.685,128.307,0.16293,1.69196,1.04174,0.75549,0.86203,1.85554
D01,C,D01-C-0148,Immune-like,1148.655,301.722,7.828,0.50531,0.56865,1.89517,1.06817,1.32739,1.64968
D01,C,D01-C-0149,Epithelial-like,814.608,388.136,-164.412,2.12503,0.42473,0.62869,0.60606,0.222,1.13571
D01,C,D01-C-0150,Immune-like,436.033,875.452,197.849,0.47294,0.33662,1.47459,1.10225,1.04815,1.36903
D01,C,D01-C-0151,Epithelial-like,1087.911,383.774,-87.91,2.23319,0.17024,1.35269,1.2295,1.19455,1.38117
D01,C,D01-C-0152,Stromal-like,175.998,680.885,195.824,0.55753,1.99854,0.37815,0.39801,0.29969,0.99325
D01,C,D01-C-0153,Epithelial-like,810.654,641.339,-153.338,1.84087,0.08393,1.1811,1.0664,0.66685,1.72607
D01,C,D01-C-0154,Immune-like,780.608,209.769,39.466,0.44869,1.04687,1.42203,1.12087,1.40439,1.64593
D01,C,D01-C-0155,Stromal-like,173.114,616.933,174.28,0.97256,2.06365,1.21384,0.7442,0.53962,1.55541
D01,C,D01-C-0156,Stromal-like,1273.251,403.878,8.98,0.71003,1.8877,1.16679,0.77991,0.83522,1.6823
D01,C,D01-C-0157,Epithelial-like,1213.999,345.183,6.827,1.91175,0.58189,1.50647,1.40902,0.94378,1.64674
D01,C,D01-C-0158,Immune-like,1090.181,711.576,-22.984,0.23965,0.68181,1.48627,1.2192,1.05238,1.12829
D01,C,D01-C-0159,Stromal-like,551.445,238.501,65.138,0.37871,1.7446,1.71615,1.2972,1.02621,1.34275
D01,C,D01-C-0160,Immune-like,159.042,746.888,239.461,0.57373,0.62416,1.27901,0.92877,1.12327,1.00652
D01,C,D01-C-0161,Stromal-like,1175.95,810.723,103.194,0.19872,1.95268,1.46702,1.00359,0.96925,0.99829
D01,C,D01-C-0162,Epithelial-like,828.791,599.087,-202.727,2.18025,0.65851,0.34929,0.43449,0.2516,1.30397
D01,C,D01-C-0163,Stromal-like,389.768,303.846,87.745,1.07542,2.36876,1.38229,0.96003,0.64165,1.79828
D01,C,D01-C-0164,Stromal-like,1037.324,177.669,93.85,0.31727,1.72915,1.19813,0.98947,0.85557,1.22375
D01,C,D01-C-0165,Stromal-like,1494.628,476.422,138.172,0.39605,2.04869,1.27307,0.92018,1.16362,1.07039
D01,C,D01-C-0166,Stromal-like,1265.443,838.522,164.401,0.73817,2.20875,0.98962,0.82854,0.57811,1.12058
D01,C,D01-C-0167,Immune-like,519.449,517.908,-78.417,0.86395,0.48464,2.07503,1.22265,1.12783,1.6271
D01,C,D01-C-0168,Epithelial-like,715.005,490.557,-209.935,2.18659,0.54285,1.02253,1.23145,0.76824,1.41417
D01,C,D01-C-0169,Epithelial-like,1135.364,625.687,-69.447,1.94065,0.42821,1.40254,1.14331,0.87935,1.40028
D01,C,D01-C-0170,Immune-like,1329.997,636.753,53.933,0.56783,0.54387,1.49671,1.0755,0.89786,1.18375
D01,C,D01-C-0171,Stromal-like,312.998,663.927,102.284,0.62503,1.8819,0.75446,0.52117,0.78891,1.53106
D01,C,D01-C-0172,Stromal-like,816.215,488.541,-271.383,0.73333,2.28973,0.83616,0.66348,0.63251,1.25816
D01,C,D01-C-0173,Epithelial-like,658.112,248.659,19.762,2.215,0.33343,1.56163,1.34264,0.88905,1.10206
D01,C,D01-C-0174,Stromal-like,521.294,784.215,79.432,0.82885,2.00096,1.11052,0.74261,0.91445,1.55013
D01,C,D01-C-0175,Epithelial-like,470.753,791.77,107.308,2.1429,0.80677,1.54367,1.1278,0.99767,0.88399
D01,C,D01-C-0176,Immune-like,487.496,644.563,-13.4,0.71154,0.67048,2.24986,1.3327,1.29515,1.26968
D01,C,D01-C-0177,Stromal-like,1415.736,651.041,114.329,0.5784,2.49932,1.31985,1.4495,1.02496,1.17239
D01,C,D01-C-0178,Epithelial-like,866.652,230.896,12.369,2.34772,0.31292,1.52565,1.0213,1.17753,0.70995
D01,C,D01-C-0179,Epithelial-like,666.274,357.322,-90.671,2.41299,0.54211,0.88268,0.60433,0.80567,1.11373
D01,C,D01-C-0180,Immune-like,758.859,801.476,32.055,0.97887,0.45966,2.0989,1.36679,1.34505,1.43361
D01,C,D01-C-0181,Stromal-like,1286.905,249.724,115.748,0.68355,1.85591,0.94304,0.70057,1.20215,1.07098
D01,C,D01-C-0182,Immune-like,770.19,187.379,65.668,0.82615,1.23675,1.83552,1.63949,1.08269,1.16941
D01,C,D01-C-0183,Immune-like,1450.86,675.753,147.603,0.68199,0.30273,1.01617,0.80059,0.86858,1.19056
D01,C,D01-C-0184,Stromal-like,1320.014,255.486,127.765,0.81242,1.6903,1.08499,0.91664,0.77221,1.61229
D01,C,D01-C-0185,Stromal-like,460.843,158.45,175.248,0.74447,1.94824,1.03492,0.54173,0.5447,1.46991
D01,C,D01-C-0186,Stromal-like,405.133,815.999,157.339,0.76584,2.20919,0.84487,0.48437,0.38664,1.5351
D01,C,D01-C-0187,Epithelial-like,957.206,476.314,-222.192,2.08804,0.47977,1.09792,1.12307,0.83231,1.52077
D01,C,D01-C-0188,Stromal-like,1275.905,286.573,81.731,0.8044,2.32103,1.47622,1.10645,1.00985,1.61028
D01,C,D01-C-0189,Stromal-like,270.099,435.474,101.12,0.59632,2.4382,0.83823,0.75887,0.40678,1.76001
D01,C,D01-C-0190,Immune-like,940.817,224.207,25.668,0.34029,0.6268,1.54593,0.85963,0.5738,1.28178
D01,C,D01-C-0191,Epithelial-like,1061.079,415.162,-124.677,2.23457,0.64388,1.5553,0.73139,0.88357,1.05695
D01,C,D01-C-0192,Stromal-like,1163.443,506.002,-90.265,0.33692,2.35189,0.34375,0.2966,0.02,1.34515
D01,C,D01-C-0193,Immune-like,664.063,818.002,67.452,1.00933,1.09774,1.88377,1.11974,1.30928,1.14751
D01,C,D01-C-0194,Immune-like,1047.879,261.346,8.385,0.73486,0.20981,2.25625,1.49696,1.31546,1.52132
D01,C,D01-C-0195,Epithelial-like,383.133,558.166,19.423,1.94235,0.46624,0.76427,0.50424,0.61867,0.9582
D01,C,D01-C-0196,Stromal-like,150.848,562.375,177.556,0.47764,1.67001,1.02672,0.70369,0.84267,1.01013
D01,C,D01-C-0197,Epithelial-like,999.44,500.836,-202.115,2.23465,0.57831,1.24381,1.27832,0.91534,1.26063
D01,C,D01-C-0198,Stromal-like,797.994,56.937,211.075,0.78035,2.30846,0.80827,0.54315,0.75526,1.33179
D01,C,D01-C-0199,Stromal-like,373.753,682.619,75.634,0.3846,2.21367,1.19021,0.74274,1.16545,1.42216
D01,C,D01-C-0200,Epithelial-like,661.952,699.599,-53.983,2.12166,0.8492,1.44542,0.827,1.0766,1.51866
D01,C,D01-C-0201,Stromal-like,1403.189,379.724,101.791,0.79123,2.12077,1.04115,0.92466,1.14631,1.33689
D01,C,D01-C-0202,Stromal-like,1495.117,486.932,137.638,0.55531,2.05427,1.16681,0.87689,0.77056,1.18554
D01,C,D01-C-0203,Stromal-like,1010.529,856.699,104.031,0.28244,2.21871,1.44064,1.39061,0.97581,0.79287
D01,C,D01-C-0204,Immune-like,870.723,830.167,59.103,0.46411,0.34892,1.45725,1.12271,0.74339,1.92501
D01,C,D01-C-0205,Epithelial-like,711.506,604.881,-161.392,2.16307,0.93153,1.13009,0.87953,0.73359,1.69098
D01,C,D01-C-0206,Stromal-like,223.639,556.746,127.29,0.45673,1.83132,1.09373,0.88784,0.43462,1.49557
D01,C,D01-C-0207,Stromal-like,917.097,114.968,146.246,0.71278,2.13003,1.20375,0.95425,1.03663,1.38462
D01,C,D01-C-0208,Immune-like,273.681,652.808,121.796,0.56728,0.86896,1.34928,0.90294,1.12759,1.72225
D01,C,D01-C-0209,Stromal-like,1023.178,53.516,227.12,0.45254,2.16681,0.86355,0.49947,0.95849,1.60085
D01,C,D01-C-0210,Stromal-like,1599.228,634.72,227.381,0.53115,2.10155,0.82579,0.68406,0.60634,1.002
D01,C,D01-C-0211,Immune-like,338.096,437.709,55.114,0.89302,0.72419,1.72587,0.8277,1.25977,1.35107
D01,C,D01-C-0212,Stromal-like,645.434,878.131,136.172,0.61004,2.30096,1.18415,0.74849,0.54333,1.46301
D01,C,D01-C-0213,Epithelial-like,616.558,532.416,-143.092,1.88324,0.71847,0.87566,0.69398,0.8061,1.08688
D01,C,D01-C-0214,Stromal-like,715.154,151.308,112.937,0.87668,1.48907,1.3604,1.21727,1.20902,1.45037
D01,C,D01-C-0215,Epithelial-like,749.393,577.606,-201.798,2.2203,0.72962,0.80662,0.64683,0.57261,1.54368
D01,C,D01-C-0216,Epithelial-like,1122.302,212.713,80.891,1.77503,0.57943,1.29021,1.02592,0.99407,1.52896
D01,C,D01-C-0217,Epithelial-like,720.747,370.076,-123.011,2.09414,0.46517,1.26349,0.85683,0.86986,1.27765
D01,C,D01-C-0218,Immune-like,742.62,752.589,-19.688,0.38393,0.62576,2.26748,1.42891,1.2645,1.5146
D01,C,D01-C-0219,Epithelial-like,576.181,688.321,-28.891,2.03396,0.41157,1.74789,1.14296,1.18837,1.45893
