assay,condition,position_kb,signal
ATAC,C,25.3333,0.02
ATAC,C,25.6667,0.02
ATAC,C,26.0,0.02
ATAC,C,26.3333,0.02001
ATAC,C,26.6667,0.02002
ATAC,C,27.0,0.02007
ATAC,C,27.3333,0.02021
ATAC,C,27.6667,0.02059
ATAC,C,28.0,0.02155
ATAC,C,28.3333,0.02376
ATAC,C,28.6667,0.02844
ATAC,C,29.0,0.03757
ATAC,C,29.3333,0.05386
ATAC,C,29.6667,0.0804
ATAC,C,30.0,0.11974
ATAC,C,30.3333,0.17247
ATAC,C,30.6667,0.23576
ATAC,C,31.0,0.30266
ATAC,C,31.3333,0.3628
ATAC,C,31.6667,0.40486
ATAC,C,32.0,0.42
ATAC,C,32.3333,0.40486
ATAC,C,32.6667,0.3628
ATAC,C,33.0,0.30266
ATAC,C,33.3333,0.23576
ATAC,C,33.6667,0.17247
ATAC,C,34.0,0.11974
ATAC,C,34.3333,0.0804
ATAC,C,34.6667,0.05386
ATAC,C,35.0,0.03757
ATAC,C,35.3333,0.02844
ATAC,C,35.6667,0.02376
ATAC,C,36.0,0.02155
ATAC,C,36.3333,0.02059
ATAC,C,36.6667,0.02021
ATAC,C,37.0,0.02007
ATAC,C,37.3333,0.02002
ATAC,C,37.6667,0.02001
ATAC,C,38.0,0.02
ATAC,C,38.3333,0.02
ATAC,C,38.6667,0.02
ATAC,C,39.0,0.02
ATAC,C,39.3333,0.02
ATAC,C,39.6667,0.02
ATAC,C,40.0,0.02
ATAC,C,40.3333,0.02
ATAC,C,40.6667,0.02
ATAC,C,41.0,0.02
ATAC,C,41.3333,0.02
ATAC,C,41.6667,0.02
ATAC,C,42.0,0.02
ATAC,C,42.3333,0.02001
ATAC,C,42.6667,0.02003
ATAC,C,43.0,0.0201
ATAC,C,43.3333,0.02031
ATAC,C,43.6667,0.02088
ATAC,C,44.0,0.02232
ATAC,C,44.3333,0.02563
ATAC,C,44.6667,0.03267
ATAC,C,45.0,0.04636
ATAC,C,45.3333,0.07079
ATAC,C,45.6667,0.1106
ATAC,C,46.0,0.16961
ATAC,C,46.3333,0.2487
ATAC,C,46.6667,0.34364
ATAC,C,47.0,0.44399
ATAC,C,47.3333,0.5342
ATAC,C,47.6667,0.59729
ATAC,C,48.0,0.62
ATAC,C,48.3333,0.59729
ATAC,C,48.6667,0.5342
ATAC,C,49.0,0.44399
ATAC,C,49.3333,0.34364
ATAC,C,49.6667,0.2487
ATAC,C,50.0,0.16961
ATAC,C,50.3333,0.1106
ATAC,C,50.6667,0.07079
ATAC,C,51.0,0.04636
ATAC,C,51.3333,0.03267
ATAC,C,51.6667,0.02563
ATAC,C,52.0,0.02232
ATAC,C,52.3333,0.02088
ATAC,C,52.6667,0.02031
ATAC,C,53.0,0.0201
ATAC,C,53.3333,0.02003
ATAC,C,53.6667,0.02001
ATAC,C,54.0,0.02
ATAC,C,54.3333,0.02
ATAC,C,54.6667,0.02
ATAC,C,55.0,0.02
ATAC,C,55.3333,0.02
ATAC,C,55.6667,0.02
ATAC,C,56.0,0.02
ATAC,C,56.3333,0.02
ATAC,C,56.6667,0.02
ATAC,C,57.0,0.02
ATAC,C,57.3333,0.02
ATAC,C,57.6667,0.02
ATAC,C,58.0,0.02
ATAC,C,58.3333,0.02
ATAC,C,58.6667,0.02
ATAC,C,59.0,0.02
ATAC,C,59.3333,0.02
ATAC,C,59.6667,0.02
ATAC,C,60.0,0.02
ATAC,P,0.0,0.026
ATAC,P,0.3333,0.026
ATAC,P,0.6667,0.026
ATAC,P,1.0,0.026
ATAC,P,1.3333,0.026
ATAC,P,1.6667,0.026
ATAC,P,2.0,0.026
ATAC,P,2.3333,0.026
ATAC,P,2.6667,0.026
ATAC,P,3.0,0.026
ATAC,P,3.3333,0.026
ATAC,P,3.6667,0.026
ATAC,P,4.0,0.026
ATAC,P,4.3333,0.026
ATAC,P,4.6667,0.026
ATAC,P,5.0,0.026
ATAC,P,5.3333,0.02602
ATAC,P,5.6667,0.02606
ATAC,P,6.0,0.0262
ATAC,P,6.3333,0.02661
ATAC,P,6.6667,0.02772
ATAC,P,7.0,0.03052
ATAC,P,7.3333,0.03699
ATAC,P,7.6667,0.0507
ATAC,P,8.0,0.07741
ATAC,P,8.3333,0.12505
ATAC,P,8.6667,0.20268
ATAC,P,9.0,0.31774
ATAC,P,9.3333,0.47197
ATAC,P,9.6667,0.65711
ATAC,P,10.0,0.85278
ATAC,P,10.3333,1.02869
ATAC,P,10.6667,1.15172
ATAC,P,11.0,1.196
ATAC,P,11.3333,1.15172
ATAC,P,11.6667,1.02869
ATAC,P,12.0,0.85278
ATAC,P,12.3333,0.65711
ATAC,P,12.6667,0.47197
ATAC,P,13.0,0.31774
ATAC,P,13.3333,0.20268
ATAC,P,13.6667,0.12505
ATAC,P,14.0,0.07741
ATAC,P,14.3333,0.0507
ATAC,P,14.6667,0.03699
ATAC,P,15.0,0.03052
ATAC,P,15.3333,0.02772
ATAC,P,15.6667,0.02661
ATAC,P,16.0,0.0262
ATAC,P,16.3333,0.02606
ATAC,P,16.6667,0.02602
ATAC,P,17.0,0.026
ATAC,P,17.3333,0.026
ATAC,P,17.6667,0.026
ATAC,P,18.0,0.026
ATAC,P,18.3333,0.026
ATAC,P,18.6667,0.026
ATAC,P,19.0,0.026
ATAC,P,19.3333,0.026
ATAC,P,19.6667,0.026
ATAC,P,20.0,0.026
ATAC,P,20.3333,0.026
ATAC,P,20.6667,0.026
ATAC,P,21.0,0.026
ATAC,P,21.3333,0.026
ATAC,P,21.6667,0.026
ATAC,P,22.0,0.026
ATAC,P,22.3333,0.026
ATAC,P,22.6667,0.026
ATAC,P,23.0,0.026
ATAC,P,23.3333,0.026
ATAC,P,23.6667,0.026
ATAC,P,24.0,0.026
ATAC,P,24.3333,0.026
ATAC,P,24.6667,0.026
ATAC,P,25.0,0.026
ATAC,P,25.3333,0.026
ATAC,P,25.6667,0.026
ATAC,P,26.0,0.026
ATAC,P,26.3333,0.02601
ATAC,P,26.6667,0.02603
ATAC,P,27.0,0.02609
ATAC,P,27.3333,0.02627
ATAC,P,27.6667,0.02677
ATAC,P,28.0,0.02801
ATAC,P,28.3333,0.03088
ATAC,P,28.6667,0.03698
ATAC,P,29.0,0.04885
ATAC,P,29.3333,0.07002
ATAC,P,29.6667,0.10452
ATAC,P,30.0,0.15566
ATAC,P,30.3333,0.22421
ATAC,P,30.6667,0.30649
ATAC,P,31.0,0.39346
ATAC,P,31.3333,0.47164
ATAC,P,31.6667,0.52632
ATAC,P,32.0,0.546
ATAC,P,32.3333,0.52632
ATAC,P,32.6667,0.47164
ATAC,P,33.0,0.39346
ATAC,P,33.3333,0.30649
ATAC,P,33.6667,0.22421
ATAC,P,34.0,0.15566
ATAC,P,34.3333,0.10452
ATAC,P,34.6667,0.07002
ATAC,P,35.0,0.04885
ATAC,P,35.3333,0.03698
ATAC,P,35.6667,0.03088
ATAC,P,36.0,0.02801
ATAC,P,36.3333,0.02677
ATAC,P,36.6667,0.02627
ATAC,P,37.0,0.02609
ATAC,P,37.3333,0.02603
ATAC,P,37.6667,0.02601
ATAC,P,38.0,0.026
ATAC,P,38.3333,0.026
ATAC,P,38.6667,0.026
ATAC,P,39.0,0.026
ATAC,P,39.3333,0.026
ATAC,P,39.6667,0.026
ATAC,P,40.0,0.026
ATAC,P,40.3333,0.026
ATAC,P,40.6667,0.026
ATAC,P,41.0,0.026
ATAC,P,41.3333,0.026
ATAC,P,41.6667,0.026
ATAC,P,42.0,0.026
ATAC,P,42.3333,0.02601
ATAC,P,42.6667,0.02604
ATAC,P,43.0,0.02613
ATAC,P,43.3333,0.02641
ATAC,P,43.6667,0.02715
ATAC,P,44.0,0.02902
ATAC,P,44.3333,0.03332
ATAC,P,44.6667,0.04247
ATAC,P,45.0,0.06027
ATAC,P,45.3333,0.09203
ATAC,P,45.6667,0.14379
ATAC,P,46.0,0.22049
ATAC,P,46.3333,0.32331
ATAC,P,46.6667,0.44674
ATAC,P,47.0,0.57719
ATAC,P,47.3333,0.69446
ATAC,P,47.6667,0.77648
ATAC,P,48.0,0.806
ATAC,P,48.3333,0.77648
ATAC,P,48.6667,0.69446
ATAC,P,49.0,0.57719
ATAC,P,49.3333,0.44674
ATAC,P,49.6667,0.32331
ATAC,P,50.0,0.22049
ATAC,P,50.3333,0.14379
ATAC,P,50.6667,0.09203
ATAC,P,51.0,0.06027
ATAC,P,51.3333,0.04247
ATAC,P,51.6667,0.03332
ATAC,P,52.0,0.02902
ATAC,P,52.3333,0.02715
ATAC,P,52.6667,0.02641
ATAC,P,53.0,0.02613
ATAC,P,53.3333,0.02604
ATAC,P,53.6667,0.02601
ATAC,P,54.0,0.026
ATAC,P,54.3333,0.026
ATAC,P,54.6667,0.026
ATAC,P,55.0,0.026
ATAC,P,55.3333,0.026
ATAC,P,55.6667,0.026
ATAC,P,56.0,0.026
ATAC,P,56.3333,0.026
ATAC,P,56.6667,0.026
ATAC,P,57.0,0.026
ATAC,P,57.3333,0.026
ATAC,P,57.6667,0.026
ATAC,P,58.0,0.026
ATAC,P,58.3333,0.026
ATAC,P,58.6667,0.026
ATAC,P,59.0,0.026
ATAC,P,59.3333,0.026
ATAC,P,59.6667,0.026
ATAC,P,60.0,0.026
Protein,C,0.0,0.02
Protein,C,0.3333,0.02
Protein,C,0.6667,0.02
Protein,C,1.0,0.02
Protein,C,1.3333,0.02
Protein,C,1.6667,0.02
Protein,C,2.0,0.02
Protein,C,2.3333,0.02
Protein,C,2.6667,0.02
Protein,C,3.0,0.02
Protein,C,3.3333,0.02
Protein,C,3.6667,0.02001
Protein,C,4.0,0.02002
Protein,C,4.3333,0.02004
Protein,C,4.6667,0.02007
Protein,C,5.0,0.02014
Protein,C,5.3333,0.02026
Protein,C,5.6667,0.02046
Protein,C,6.0,0.02081
Protein,C,6.3333,0.02138
Protein,C,6.6667,0.02232
Protein,C,7.0,0.0238
Protein,C,7.3333,0.02608
Protein,C,7.6667,0.02952
Protein,C,8.0,0.03455
Protein,C,8.3333,0.04175
Protein,C,8.6667,0.05177
Protein,C,9.0,0.06534
Protein,C,9.3333,0.08325
Protein,C,9.6667,0.10624
Protein,C,10.0,0.1349
Protein,C,10.3333,0.16961
Protein,C,10.6667,0.21039
Protein,C,11.0,0.25679
Protein,C,11.3333,0.30781
Protein,C,11.6667,0.36189
Protein,C,12.0,0.41691
Protein,C,12.3333,0.47032
Protein,C,12.6667,0.51933
Protein,C,13.0,0.56111
Protein,C,13.3333,0.59307
Protein,C,13.6667,0.61315
Protein,C,14.0,0.62
Protein,C,14.3333,0.61315
Protein,C,14.6667,0.59307
Protein,C,15.0,0.56111
Protein,C,15.3333,0.51933
Protein,C,15.6667,0.47032
Protein,C,16.0,0.41691
Protein,C,16.3333,0.36189
Protein,C,16.6667,0.30781
Protein,C,17.0,0.25679
Protein,C,17.3333,0.21039
Protein,C,17.6667,0.16961
Protein,C,18.0,0.1349
Protein,C,18.3333,0.10624
Protein,C,18.6667,0.08325
Protein,C,19.0,0.06534
Protein,C,19.3333,0.05177
Protein,C,19.6667,0.04175
Protein,C,20.0,0.03455
Protein,C,20.3333,0.02952
Protein,C,20.6667,0.02608
Protein,C,21.0,0.0238
Protein,C,21.3333,0.02232
Protein,C,21.6667,0.02138
Protein,C,22.0,0.02081
Protein,C,22.3333,0.02046
Protein,C,22.6667,0.02026
Protein,C,23.0,0.02014
Protein,C,23.3333,0.02007
Protein,C,23.6667,0.02004
Protein,C,24.0,0.02002
Protein,C,24.3333,0.02001
Protein,C,24.6667,0.02
Protein,C,25.0,0.02
Protein,C,25.3333,0.02
Protein,C,25.6667,0.02
Protein,C,26.0,0.02
Protein,C,26.3333,0.02001
Protein,C,26.6667,0.02001
Protein,C,27.0,0.02002
Protein,C,27.3333,0.02004
Protein,C,27.6667,0.02009
Protein,C,28.0,0.02016
Protein,C,28.3333,0.0203
Protein,C,28.6667,0.02054
Protein,C,29.0,0.02094
Protein,C,29.3333,0.02161
Protein,C,29.6667,0.02271
Protein,C,30.0,0.02443
Protein,C,30.3333,0.0271
Protein,C,30.6667,0.0311
Protein,C,31.0,0.03698
Protein,C,31.3333,0.04538
Protein,C,31.6667,0.05706
Protein,C,32.0,0.0729
Protein,C,32.3333,0.0938
Protein,C,32.6667,0.12061
Protein,C,33.0,0.15405
Protein,C,33.3333,0.19455
Protein,C,33.6667,0.24212
Protein,C,34.0,0.29626
Protein,C,34.3333,0.35578
Protein,C,34.6667,0.41887
Protein,C,35.0,0.48306
Protein,C,35.3333,0.54538
Protein,C,35.6667,0.60256
Protein,C,36.0,0.6513
Protein,C,36.3333,0.68859
Protein,C,36.6667,0.71202
Protein,C,37.0,0.72001
Protein,C,37.3333,0.71203
Protein,C,37.6667,0.68862
Protein,C,38.0,0.65137
Protein,C,38.3333,0.60268
Protein,C,38.6667,0.54561
Protein,C,39.0,0.48346
Protein,C,39.3333,0.41956
Protein,C,39.6667,0.35694
Protein,C,40.0,0.29816
Protein,C,40.3333,0.24517
Protein,C,40.6667,0.19931
Protein,C,41.0,0.16132
Protein,C,41.3333,0.13148
Protein,C,41.6667,0.10968
Protein,C,42.0,0.09557
Protein,C,42.3333,0.08869
Protein,C,42.6667,0.08849
Protein,C,43.0,0.09443
Protein,C,43.3333,0.10591
Protein,C,43.6667,0.12229
Protein,C,44.0,0.14283
Protein,C,44.3333,0.16661
Protein,C,44.6667,0.19256
Protein,C,45.0,0.2194
Protein,C,45.3333,0.2457
Protein,C,45.6667,0.26997
Protein,C,46.0,0.29072
Protein,C,46.3333,0.30662
Protein,C,46.6667,0.31662
Protein,C,47.0,0.32002
Protein,C,47.3333,0.31659
Protein,C,47.6667,0.30654
Protein,C,48.0,0.29056
Protein,C,48.3333,0.26967
Protein,C,48.6667,0.24516
Protein,C,49.0,0.21845
Protein,C,49.3333,0.19094
Protein,C,49.6667,0.16391
Protein,C,50.0,0.1384
Protein,C,50.3333,0.1152
Protein,C,50.6667,0.09481
Protein,C,51.0,0.07745
Protein,C,51.3333,0.06312
Protein,C,51.6667,0.05163
Protein,C,52.0,0.04267
Protein,C,52.3333,0.03588
