donor,condition,feature,value
D04,C,Protein surface,0.851008
D04,C,Protein matrix,0.563912
D04,C,Lipid module,1.208578
D04,C,Amino-acid module,1.342627
D04,C,Invariant control,1.219863
D04,P,RNA boundary,1.025573
D04,P,RNA epithelial,1.015555
D04,P,RNA stromal,1.15507
D04,P,ATAC boundary,0.804309
D04,P,ATAC lineage,0.33374
D04,P,Protein surface,0.83735
D04,P,Protein matrix,0.620111
D04,P,Lipid module,1.29226
D04,P,Amino-acid module,1.295579
D04,P,Invariant control,1.216188
D05,C,RNA boundary,1.304401
D05,C,RNA epithelial,1.064458
D05,C,RNA stromal,1.274117
D05,C,ATAC boundary,0.989688
D05,C,ATAC lineage,0.434821
D05,C,Protein surface,0.899481
D05,C,Protein matrix,0.652082
D05,C,Lipid module,1.208725
D05,C,Amino-acid module,1.421489
D05,C,Invariant control,1.299689
D05,P,RNA boundary,1.342442
D05,P,RNA epithelial,1.062635
D05,P,RNA stromal,1.241801
D05,P,ATAC boundary,1.016776
D05,P,ATAC lineage,0.363576
D05,P,Protein surface,0.989761
D05,P,Protein matrix,0.57716
D05,P,Lipid module,1.251994
D05,P,Amino-acid module,1.549909
D05,P,Invariant control,1.300457
D06,C,RNA boundary,1.220499
D06,C,RNA epithelial,0.936275
D06,C,RNA stromal,1.233299
D06,C,ATAC boundary,0.926975
D06,C,ATAC lineage,0.398081
D06,C,Protein surface,0.869889
D06,C,Protein matrix,0.612875
D06,C,Lipid module,1.279887
D06,C,Amino-acid module,1.465505
D06,C,Invariant control,1.219538
D06,P,RNA boundary,1.541223
D06,P,RNA epithelial,1.071122
D06,P,RNA stromal,1.141645
D06,P,ATAC boundary,1.134894
D06,P,ATAC lineage,0.378166
D06,P,Protein surface,1.092167
D06,P,Protein matrix,0.474756
D06,P,Lipid module,0.925142
D06,P,Amino-acid module,1.456443
D06,P,Invariant control,1.252884
D07,C,RNA boundary,1.126524
D07,C,RNA epithelial,0.914278
D07,C,RNA stromal,1.042324
D07,C,ATAC boundary,0.879147
D07,C,ATAC lineage,0.306041
D07,C,Protein surface,0.810701
D07,C,Protein matrix,0.499399
D07,C,Lipid module,0.927482
D07,C,Amino-acid module,1.279588
D07,C,Invariant control,1.112975
D07,P,RNA boundary,1.383874
D07,P,RNA epithelial,0.914047
D07,P,RNA stromal,1.074654
D07,P,ATAC boundary,1.030138
D07,P,ATAC lineage,0.28865
D07,P,Protein surface,1.016958
D07,P,Protein matrix,0.41846
D07,P,Lipid module,0.805927
D07,P,Amino-acid module,1.443266
D07,P,Invariant control,1.117204
D08,C,RNA boundary,1.38923
D08,C,RNA epithelial,1.160471
D08,C,RNA stromal,1.283657
D08,C,ATAC boundary,1.034699
D08,C,ATAC lineage,0.441683
D08,C,Protein surface,0.948626
D08,C,Protein matrix,0.66171
D08,C,Lipid module,1.50525
D08,C,Amino-acid module,1.57906
D08,C,Invariant control,1.370679
D08,P,RNA boundary,1.604312
D08,P,RNA epithelial,1.176424
D08,P,RNA stromal,1.337944
D08,P,ATAC boundary,1.159984
D08,P,ATAC lineage,0.366794
D08,P,Protein surface,1.115147
D08,P,Protein matrix,0.550333
D08,P,Lipid module,1.209162
D08,P,Amino-acid module,1.693942
D08,P,Invariant control,1.363908
D09,C,RNA boundary,0.745235
D09,C,RNA epithelial,0.584296
D09,C,RNA stromal,0.743821
D09,C,ATAC boundary,0.652011
D09,C,ATAC lineage,0.23926
D09,C,Protein surface,0.611314
D09,C,Protein matrix,0.365407
D09,C,Lipid module,0.743732
D09,C,Amino-acid module,0.899014
D09,C,Invariant control,0.742476
D09,P,RNA boundary,0.805145
D09,P,RNA epithelial,0.559379
D09,P,RNA stromal,0.798265
D09,P,ATAC boundary,0.697114
D09,P,ATAC lineage,0.114656
D09,P,Protein surface,0.71565
D09,P,Protein matrix,0.390843
D09,P,Lipid module,0.68266
D09,P,Amino-acid module,0.968473
D09,P,Invariant control,0.744311
D10,C,RNA boundary,1.049513
D10,C,RNA epithelial,0.813431
D10,C,RNA stromal,1.033655
D10,C,ATAC boundary,0.818163
D10,C,ATAC lineage,0.298797
D10,C,Protein surface,0.77155
D10,C,Protein matrix,0.503643
D10,C,Lipid module,0.881115
D10,C,Amino-acid module,1.200562
D10,C,Invariant control,1.038224
D10,P,RNA boundary,1.451052
D10,P,RNA epithelial,0.853864
D10,P,RNA stromal,0.938718
D10,P,ATAC boundary,1.069625
D10,P,ATAC lineage,0.220768
D10,P,Protein surface,1.049554
D10,P,Protein matrix,0.312214
D10,P,Lipid module,0.612974
D10,P,Amino-acid module,1.433655
D10,P,Invariant control,1.058175
D11,C,RNA boundary,0.92195
D11,C,RNA epithelial,0.747218
D11,C,RNA stromal,0.846134
D11,C,ATAC boundary,0.754401
D11,C,ATAC lineage,0.299673
D11,C,Protein surface,0.702105
D11,C,Protein matrix,0.419665
D11,C,Lipid module,0.985946
D11,C,Amino-acid module,1.138335
D11,C,Invariant control,0.927317
D11,P,RNA boundary,1.170952
D11,P,RNA epithelial,0.732429
D11,P,RNA stromal,0.924697
D11,P,ATAC boundary,0.90623
D11,P,ATAC lineage,0.188172
D11,P,Protein surface,0.928735
D11,P,Protein matrix,0.36073
D11,P,Lipid module,0.508307
D11,P,Amino-acid module,1.144519
D11,P,Invariant control,0.910555
D12,C,RNA boundary,1.33914
D12,C,RNA epithelial,1.079339
D12,C,RNA stromal,1.303663
D12,C,ATAC boundary,1.00094
D12,C,ATAC lineage,0.425508
D12,C,Protein surface,0.905352
D12,C,Protein matrix,0.682392
D12,C,Lipid module,1.156668
D12,C,Amino-acid module,1.483073
D12,C,Invariant control,1.324536
D12,P,RNA boundary,1.387546
D12,P,RNA epithelial,1.145111
D12,P,RNA stromal,1.228496
D12,P,ATAC boundary,1.036521
D12,P,ATAC lineage,0.386008
D12,P,Protein surface,1.018999
D12,P,Protein matrix,0.578155
D12,P,Lipid module,1.324386
D12,P,Amino-acid module,1.502456
D12,P,Invariant control,1.3286
